,relevo,inclinacao,velocidade
0,0.10100142941,0.111552173596,0.0
1,0.163402493762,0.608970211438,0.0
2,0.171138648198,0.298444791449,0.0
3,0.209507030771,0.263389050751,0.0
4,0.232790886361,0.64096179858,0.0
5,0.266977822049,0.50058611305,0.0
6,0.27797360311,0.434765250669,0.0
7,0.36483217897,0.953815927521,1.0
8,0.370180967117,0.875852940378,1.0
9,0.379455441758,0.15283926855,0.0
10,0.609131005667,0.870518569837,1.0
11,0.635684444264,0.453723706329,1.0
12,0.648035385247,0.912627839345,1.0
13,0.72912679795,0.638949494866,1.0
14,0.936654587712,0.17865188053,1.0
