,A,B,C
0,0.00939743145487,0.895118369816,1.0
1,0.0139186551009,0.178473629004,0.0
2,0.0250246496465,0.531933608497,0.0
3,0.032716286855,0.318903696369,0.0
4,0.0358990998377,0.25726488023,0.0
5,0.0370196113456,0.882244973165,1.0
6,0.0436472990973,0.64589791789,0.0
7,0.0459909686772,0.184781201047,0.0
8,0.049044250776,0.0617580475567,0.0
9,0.0632170411602,0.937410361135,1.0
10,0.0684207471816,0.186199069128,0.0
11,0.07896835066,0.722882528401,0.0
12,0.0901333757462,0.816453225933,1.0
13,0.0932092012815,0.795405356002,0.0
14,0.0971919986218,0.100896713093,0.0
15,0.0984431263832,0.856146504273,1.0
16,0.0990216347105,0.503895848941,0.0
17,0.108346102199,0.673499857777,0.0
18,0.11516970745,0.420361938882,0.0
19,0.11746614909,0.379694185374,0.0
20,0.121426083363,0.297614565277,0.0
21,0.132159797747,0.344528866562,0.0
22,0.135664048706,0.597784896732,0.0
23,0.139777012507,0.766053467514,0.0
24,0.140757015006,0.382479618851,0.0
25,0.143117720129,0.118224847804,0.0
26,0.145569795699,0.260785277065,0.0
27,0.148595418383,0.100544904777,0.0
28,0.154361218772,0.567961868664,0.0
29,0.15452290241,0.86373024267,1.0
30,0.157975622072,0.916130385851,1.0
31,0.158378163805,0.317040745018,0.0
32,0.169983649068,0.301945839692,0.0
33,0.175640070444,0.0452898027278,0.0
34,0.187582541395,0.771989784149,1.0
35,0.188652373707,0.878399621514,1.0
36,0.199216999109,0.415845615431,0.0
37,0.20355823835,0.192264169137,0.0
38,0.221367200074,0.275649727795,0.0
39,0.233562446058,0.963914038891,1.0
40,0.233821902212,0.544445339025,1.0
41,0.237205701928,0.537517687693,1.0
42,0.239297462328,0.70498825974,1.0
43,0.240829791856,0.692768590423,1.0
44,0.243730906075,0.346363514096,0.0
45,0.250098224408,0.747734837151,1.0
46,0.253977339414,0.405416612968,0.0
47,0.255326708159,0.502520471238,0.0
48,0.256970084563,0.0317348710231,0.0
49,0.273424896713,0.290452651993,0.0
50,0.274480380178,0.446747977496,0.0
51,0.276247402822,0.696171300647,1.0
52,0.282838983283,0.531041489733,0.0
53,0.286194151459,0.149852381382,0.0
54,0.293367775965,0.323601670085,0.0
55,0.295110451629,0.745804482832,1.0
56,0.295230753883,0.754739549725,1.0
57,0.298555849772,0.637944573409,1.0
58,0.302190174529,0.809478183539,1.0
59,0.304364584356,0.0156457963635,0.0
60,0.308932883953,0.462378305739,1.0
61,0.316661153933,0.192811398274,0.0
62,0.321777350229,0.935032098596,1.0
63,0.323273786276,0.325049534426,0.0
64,0.338561234051,0.28456165235,0.0
65,0.338715253802,0.645880818097,1.0
66,0.345123941693,0.00518144640713,0.0
67,0.345565624443,0.614625448144,1.0
68,0.352320955835,0.116240022185,0.0
69,0.361779359152,0.720924561327,1.0
70,0.365775049406,0.653534098419,1.0
71,0.370529958734,0.597917674277,1.0
72,0.374841089775,0.248047083667,0.0
73,0.380009397523,0.468020769006,0.0
74,0.383586013247,0.256443975473,0.0
75,0.384693248967,0.549234508818,1.0
76,0.386078752491,0.535152276894,1.0
77,0.404175057001,0.5254771514,1.0
78,0.408115885698,0.815786256763,1.0
79,0.408295855795,0.419240598492,1.0
80,0.409978619746,0.876743167918,1.0
81,0.413247570799,0.354286988645,1.0
82,0.414884527437,0.0564440350245,0.0
83,0.414942423551,0.615677034414,1.0
84,0.419126753415,0.234339278488,0.0
85,0.424308938461,0.153185564689,0.0
86,0.433971471923,0.175494913838,0.0
87,0.438116095072,0.224867037993,0.0
88,0.440306209771,0.495383897322,1.0
89,0.440823190163,0.806915352554,1.0
90,0.441729783604,0.295037600156,0.0
91,0.443383086061,0.672531901437,1.0
92,0.443678551662,0.51528065896,1.0
93,0.453643756889,0.703286266865,1.0
94,0.454786027734,0.528842539544,1.0
95,0.455344616867,0.406907451547,0.0
96,0.456928074474,0.962131380083,1.0
97,0.461149913355,0.306806342004,0.0
98,0.461447894179,0.676622245783,1.0
99,0.469490600985,0.107300690774,0.0
100,0.481847829874,0.768972062583,1.0
101,0.483208061059,0.470828076879,1.0
102,0.48934703779,0.289263451354,1.0
103,0.489640346656,0.71735805625,1.0
104,0.492624618978,0.20608162185,0.0
105,0.495328649616,0.175064775481,0.0
106,0.496727286524,0.505487056093,1.0
107,0.498375504707,0.818377460131,1.0
108,0.502291150133,0.175788707539,0.0
109,0.50773767581,0.24245803841,1.0
110,0.508240891593,0.202068007201,0.0
111,0.50887201507,0.804615833957,1.0
112,0.514596252329,0.313752598738,1.0
113,0.525951086808,0.936608744778,1.0
114,0.530852373703,0.934582798885,1.0
115,0.531166318149,0.235521252802,0.0
116,0.536572308269,0.537258486398,1.0
117,0.538580577704,0.770766058098,1.0
118,0.539407758984,0.0637599121121,0.0
119,0.542593594357,0.342327017682,1.0
120,0.543430062959,0.92909968017,1.0
121,0.549219639085,0.246519135527,1.0
122,0.550839007003,0.348803174201,1.0
123,0.55126507688,0.442376111865,1.0
124,0.551917417071,0.55035256578,1.0
125,0.552251409054,0.933700374771,1.0
126,0.56140738225,0.247512038504,0.0
127,0.565928061916,0.753756651781,1.0
128,0.565929016956,0.703766125156,1.0
129,0.571797641985,0.199455974668,0.0
130,0.571922692351,0.66409443934,1.0
131,0.574811930179,0.218411622657,1.0
132,0.579573805368,0.723280079825,1.0
133,0.584560091652,0.00347329494491,0.0
134,0.586937722414,0.0524911068395,0.0
135,0.587571705126,0.219128600935,1.0
136,0.59018042931,0.919634811851,1.0
137,0.606406493076,0.547649248711,1.0
138,0.607064998164,0.520341541185,1.0
139,0.608871667082,0.207277794855,0.0
